page,paragraph_id,sentence_num,sentence_text
8,0,1,MÅL OCH RIKTLINJER
8,1,1,Den genom samhällets försorg bedrivna undervisningen av barn och ungdom har till syfte att meddela eleverna kunskaper och öva deras färdigheter samt i samarbete med hemmen främja elevernas utveckling till harmoniska människor och till dugliga och ansvarskännande samhällsmedlemmar
8,2,1,Så lyder skollagens första paragraf
8,2,2,"I överensstämmelse härmed blir målet för den nioåriga obligatoriska grundskolan, som det uttalats av Kungl"
8,2,3,"Maj:t och riksdagen, att den i samarbete med hemmen skall främja elevernas allsidiga utveckling samt därvid meddela eleverna kunskaper och öva deras färdigheter"
8,2,4,I detta avsnitt av läroplanen sammanfattas de mest väsentliga synpunkterna på skolans uppgift och anges de viktigaste riktlinjerna för dess arbete
8,3,1,I centrum för skolans fostrande verksamhet står den enskilda eleven
8,3,2,Att hjälpa varje elev till en allsidig utveckling är riktpunkten för skolans arbete
8,3,3,"Det innebär, att den med aktning för elevens människovärde och kännedom om hans individuella egenart och förutsättningar skall söka främja hans personliga mognande till en fri, självständig och harmonisk människa"
8,3,4,Skolan skall ge individuell fostran
8,4,1,Den enskilda människan är i sin kontakt med omvärlden också medmänniska och medborgare
8,4,2,"Hon är medlem av familj och kamratkrets, och hon är samhällsmedlem"
8,4,3,"För att hon skall kunna finna sig tillrätta i tillvaron, måste hon redan under skoltiden få öva sig"
8,4,4,"att leva och verka i gemenskap med andra och förbereda sig för sitt liv som framtida familjebildare och aktiv medborgare i morgondagens samhälle, som betydligt mer än det nuvarande kommer att kräva samverkan mellan människor av olika läggning och begåvning"
8,4,5,Skolan måste med andra ord också ge social fostran
8,5,1,"Individens behov ochsamhällets krav i olika avseenden är bestämmande för innehållet, formerna och organisationen av skolans verksamhet"
8,5,2,"Denna måste inriktas på skolans samtliga elever, en heterogen skara individer, stadda i ständig utveckling och företrädande de mest skilda personlighetsoch begåvningstyper"
8,5,3,"Den yttre: organisationen och det inre arbetet måste därför formas så, att det blir möjligt för varje enskild elev att under uppväxtåren med skolans hjälp tillvarata sina anlag och möjligheter och finna studievägar och arbetssätt, som främjar den personliga utvecklingen"
8,6,1,Även samhället befinner sig i ständig utveckling
8,6,2,Dess omdaning sker snabbt
8,6,3,"När skolan utför sin fostrargärning, måste den därför se till, att arbetet väl anpassas icke blott till den enskildes utan också till samhällets utveckling"
8,6,4,Det måste ha en inriktning mot framtiden och ge eleverna god beredskap att kunna möta också ändrade förutsättningar och nya krav: I ett för änderligt samhälle är det ej möjligt och ej lämpligt att i detalj precisera och fastlåsa vare sig innehåll eller form för arbetet
8,6,5,"Skolans uppgifter måste fortlöpande omprövas, så att de ständigt hålles tidsenliga; skolans egen utveckling bör försiggå i takt med samhällets"
8,6,6,"Samspelet mellan skola och samhälle måste vara sådant, att skolan med sitt arbete icke blott fullgör en samhällsfunktion, som svarar mot samhällets aktuella behov, utan också på lång sikt blir en positivt skapande kraft i samhällsutvecklingen"
8,6,7,Som samhällsinstitution hår den i hög grad uppgiften att förvalta kulturarvet och att föra det vidåre
9,8,1,"Det gemensamma ansvaret och intressét för 'dé ungas utveckling och fostran bör förena hem, skola och samhälle i ett fruktbärande samarbete,"
9,9,1,Skolan kan självfallet inte ensam leda barnets utveckling
9,9,2,Även under barnets år i skolan har hemmet det primära och huvudsäkliga ansvaret för dess fostran och :'vård
9,9,3,"'Awv största betydelse är då att sökä överbrygga de olikheter i uppföstringsnormer,' som kan finnas mellän hem 'och' skola"
9,9,4,För en individualiserad' fostran behövs därtill god kännedom om elevens situåtion i dess helhet
9,9,5,"Skolan bör hålla sig orienterad öm elevens: hemmiljö;j och föräldrärna bör få tillfälle"" att ta del i skolans vardag och fest"
9,9,6,Kontakten mellan skola och hem gynnas av att båda parter lär känna varandras 'verksamhetsområden
9,9,7,"Även om det bör vara lika naturligt för hemmen att ta kontakt med skolan som ' för skolan att köntakta hemmen, måste dock ansväret för att samverkan kommer fill stånd i sista hand vila på skolan"
9,9,8,"I' en skolörganisation, som successivt:ställer:eleven inför olika valmöjligheter, får skolan en starkt ökad förpliktélse att informera hemmen i: samband med"" :viktiga avgöranden under elevernas studietid och inför deras övergång till fortsatt utbildning eller till uppgifter i arbetslivet"
9,9,9,Föräldrarnas aktiva intresse i dessa för deras egna barn så viktiga frågor bör initieras och stimuleras genom lämpliga åtgärder från skolans sida med sikte på att åstadkomma ett intensifierat och breddat samarbete mellan hem och skola till gagn för trivseln i det dagliga skolarbetet och till stöd för både föräldrar och lärare i deras fostrargärning
9,10,1,Skolan utgör en del av samhället
9,10,2,"Skall den lyckas fostra sina elever till goda samhällsmedlemmar, måste den ge dem kunskap om samhället och stärka deras samhörighet med det"
9,10,3,"Särskilt gäller detta närsamhället, dvs den bygd, där eleven bor"
9,10,4,"Genom ömsesidiga kontakter mellan skolan och närsam hället, dess människor och funktioner, bör elevernas anpassning till samhället främjas, samtidigt som skolan växer intimare in i medborgarnas intresse och blir en levande angelägenhet för dem"
9,11,1,"Ett av grundskolans syften är att — så långt det över huvud är möjligt — bereda alla uppväxande, oberoende av bostadsort och andra yttre villkor, reell tillgång till lika utbildningsmöjligheter"
9,11,2,"Denna utbildning skall på olika sätt kunna anpassas till skilda elevers eller elevgruppers skiftande anlag och intressen, bl a"
9,11,3,"genom att i viss utsträckning alternativa studievägar står Öppna, särskilt mot skoltidens slut"
9,11,4,På grundval av successiva tillval utformas elevens studieväg genom <grundskolan av föräldrarna efter samråd med eleven
9,11,5,Skolan skall därvid underlätta ställningstagandet genom att lämna studie- och yrkesorientering och andra upplysningar av betydelse i sämmanhanget
9,11,6,Principen om det fria valet av studieväg utgör en hörnsten för grundskolan
9,12,1,Skolan får nu till uppgift att hjälpa och stimulera varje elev att på bästa sätt ta till vara och utveckla sina inneboende förutsättningar både som enskild individ och som medborgare i ett demokratiskt samhälle och att lära honom att under sitt arbete för den egna utvecklingen känna ansvar för vidgade kretsar av medmänniskor
9,12,2,"Detta innebär, att skolans personlighetsfostrande roll starkt betonas"
9,12,3,"I det praktiska skolarbetet utgör emellertid de personlighetsfostrande och kunskapsmeddelande uppgifterna beståndsdelar i en och samma helhet, skolans fostrande verksamhet"
9,12,4,"I begreppet fostran inbegripes såJunda inte blott själva undervisningen och dess innehåll utan alla de skiftande möjligheter till påverkan på individen, som skolarbetet och skollivet i alla dess yttringar erbjuder och som skolan bör utnyttja"
10,14,1,"Genom sin individuella och sociala fostran skall skolan ge alla elever en grundläggande bildning, som till dem förmedlar sådana färdigheter och kunskaper, vanor, attityder och värderingar, som är av betydelse för deras fostran och personliga utveckling och för deras möjlighet att anpassa sig i dagens och morgondagens samhälle och att där fungera som yrkesutövare och samhällsmedborgare"
10,14,2,"Det bör observeras, att skolan just när den meddelar kunskaper och färdigheter fullgör en stor del av sin fostrande uppgift"
10,14,3,"Kraven på goda grundläggande kunskaper å ena sidan och på allmän förmåga att använda kunskapskällor, tillämpa sitt vetande och uppfatta sammanhanget mellan fakta å andra sidan är nära samhöriga och måste samtidigt upprätthållas,"
10,15,1,"Växlingar i kultursituationen kan — såsom redan framhållits — medföra, att frågan om den grundläggande bildningens lämpliga innehåll från tid till annan kan behöva omprövas"
10,15,2,"Obestridligt synes dock vara, att den gemensamma referensram, som grundskolan vill ge alla medborgare, i dagens::komplicerade samhälle måste: omsluta:- ett rikare innehåll än förr"
10,15,3,Jämte: grundläggande språk- och räknefärdigheter skall skolan ge eleverna en vidgad kännedom om naturens och kulturens:värld
10,15,4,Den skall genom en av saklighet
10,15,5,präglad undervisning i kristendomskunskap och i ämnen av samhälls- och naturorienterande slag föra dem in
10,15,6,"i den omr givande verkligheten och i det förflutna, söka klargöra sambandet mellan det förflutna och det närvarande samt orientera dem i livsåskådningsfrågor"
10,15,7,"Det är i vår tid angelägnare än förut, att en elementär naturvetenskaplig orientering kommer samtliga elever till del"
10,15,8,"En viktig grupp bland de allmänna ämnen, som är obligatoriska för alla och som skall samverka, när skolan söker fullgöra sin bildningsuppgift, utgöres av ämnen för estetisk-praktisk och fysisk fostran"
10,16,1,"För att den gemensamma grundläggande bildningen skall kunna bli så omfattande som möjligt, måste den meddelas så högt upp i skolåren som möjligt"
10,16,2,"Det spelrum, som kan medges varje elev för personlig variation i ämnesuppsättningen genom fritt tillval av allmänna ämnen och specialämnen, reduceras därmed"
10,16,3,Utbildningens specialinriktning har alltså uppskjutits
10,16,4,oeh inom den obligatoriska skolans ram begränsats så långt som det bedömts möjligt och lämpligt
10,16,5,"Den har där syftet att åstadkomma en brett lagd grundutbildning, inriktad mot vissa större sektorer av yrkeslivet, medan en egentlig specialisering"
10,16,6,mot visst yrke i regel kommer
10,16,7,i fråga först efter skolpliktstiden
10,17,1,För elevens individuella fostran
10,17,2,är allsidighet i skolningen av väsentlig betydelse
10,17,3,Särskilt förtjänar följande; aspekter beaktande
10,17,4,SA ;
10,18,1,"I ett demokratiskt samhälle, där man önskar lägga allt större ansvar på den enskilda människan, får intellektets skolning stor vikt"
10,18,2,"De kvaliteter, som särskilt bör hållas i sikte, är tankens klarhet och reda, dess rörlighet och skärpa, förmågan att pröva kritiskt och självständigt och motstå tendentiös påverkan, att analysera, jämföra och sammanfatta"
11,20,1,"Vid sidan om uppgiften att stimulera ""och öva elevens tankeförmåga är uppgiften att utveckla hans känslo- och viljeliv det väsentliga på personlighetsfostrans område"
11,21,1,"Av största betydelse är den miljö, som skolan ' skapar för eleverna, och den trygghet och trivsel, som de upplever där; vänlighet och förståelse parade med fasthet bör möta dem i skolan"
11,22,1,Ett starkt intresse för den enskilda eleven och individuell anpassning av utidervisningen efter hans läggning och förmåga är viktiga förutsättningar för att skolan skall lyckas väcka och vidmakthålla studieintresse och arbetslust
11,22,2,Skolan bör ta vara på alla möjligheter att berika och utveckla elevernas känsloliv
11,22,3,"Bland annat måste dess undervisning och verksamhetsformer genomsyras aven strävan att medverka till en estetisk ""fostran av de unga, att lära dem uppfatta och njuta av det sköna i olika former, konst, litteratur, musik och natur, samt att frigöra deras personliga uttrycksmöjligheter och på olika' sätt låta dem få ge utlopp åt fantasi och spontan skaparlust"
11,23,1,"""Betydelsefulla inslag i skolans strävan ""att främja viljelivets utveckling är att skapa självtillit hos eleven, befrämja hans initiativkraft och hans förmåga att med noggrannhet och uthållighet arbeta för att nå uppställda mål samt utveckla"" hans beredskap till gott samarbete med"" andra"
11,23,2,"Genom sin etiska fostran skall skolan ge honom en god uppfattning om de moraliska normer, som måste gälla i sammanlevnaden mellan människor och som bär upp rättsordningen i ett demokratiskt samhälle"
11,23,3,"Han måste bli fullt medveten om innebörden av etiska begrepp som rättvisa, ärlighet, hänsyn och tolerans och om konsekvenserna av brott mot lagar och föreskrifter"
11,23,4,"Skolan bör själv så långt möjligt fungera efter normer, som eleverna accepterar, och regler, som de själva är med om att utforma"
