page,paragraph_id,paragraph
4,0,"kurs tilldelats de olika ämnena bör därför inte delas upp på alltför många arbetstillfällen och aktiviteter. Ett på många korta arbetspass splittrat dagsschema medför, att naturliga undervisningsenheter ofta blir sönderstyckade, att samverkan mellan olika ämnen försvåras, att elevernas självständiga arbete onödigt ofta blir avbrutet av de korta rasterna och att förhållandevis lång tid åtgår för omställning till nytt arbete efter dessa avbrott. Strävan vid schemaläggningen måste vara att åstadkomma längre sammanhängande arbetspass. Erforderlig hänsyn skall givetvis tas till vederbörande ämnes karaktär och till de arbetssätt och läromedel som används. Därvid bör särskilt uppmärksammas kravet på att man anpassar inlärningssituationerna vid undervisningen i språk till föreliggande omständigheter, bla beträffande tillgången till olika läromedel och tekniska anordningar."
4,1,"Olika slag av konferenser är ett viktigt inslag i skolans inre arbete. De är nödvändiga bl a för aktualisering och samordning av elevvårdande uppgifter, för samarbete med elevvårdsfunktionärer, för planering av samarbetet med hemmen, för överläggningar om studiernas uppläggning och kursernas innehåll samt för planering och samordning av undervisningen inom enskilda avdelningar, inom samma eller angränsande årskurser och stadier, i enskilda ämnen och i ämnesgrupper. Vid konferenser, då undervisningen planeras eller allmänna pedagogiska frågor behandlas, bör även representanter för eleverna delta."
4,2,"Om kollegier, klasskonferenser, ämneskonferenser och överläggningar beträffande frågor om erforderlig samordning av undervisningen i olika ämnen lämnas föreskrifter i skolstadgan."
4,3,"Klasskonferensens uppgift är närmast att handlägga frågor rörande en klass eller flera klasser, som i visst ämne eller vissa ämnen undervisas gemensamt."
4,4,"Amneskonferensen på högstadiet och motsvarande anordningar på lågstadiet och mellanstadiet har bla till uppgift att i anslutning till läroplanen närmare planera skolarbetet. Väsentliga delar av den mera översiktliga planeringen bör ske vid början av höstterminen och vårterminen och i slutet av läsåret. I det senare fallet bör arbetet bl a avse att sammanfatta resultatet av den verksamhet som förekommit under läsåret för att tjäna som underlag för planering av kommande läsår och att inför kommande läsår ge förslag om schemauppläggning och studieplaner samt planering av läromedels- och materialbehov. Vid planering i början av en termin bör förutom information och instruktion rörande skolarbetet bl a följande kunna förekomma: systematisk genomgång av riktlinjer för undervisningen samt gällande huvudmoment och anvisningar, genomgång av och överläggningar om studieplaner och andra hjälpmedel för kursuppläggningen, inventering och uppordning av böcker och andra läromedel för planerade kursavsnitt, planering av studiebesök, exkursioner och friluftsdagar, samordning av undervisningen i olika ämnen och i parallellklasser, som behandlar samma kurser periodvis."
4,5,"Behovet av väl genomtänkta, konkreta studieplaner, både av allmän karaktär och med lokal anknytning, sammanhänger med kursplanernas uppbyggnad och anvisningarnas innehåll och inriktning. Inom de ramar som anges där, finns utrymme för en betydande frihet i arbetet. Detta är en av förutsättningarna för att goda resultat skall uppnås i undervisningen och för en fortsatt utveckling av skolarbetet. Friheten är emellertid förenad med skyldighet att planmässigt ordna och bedriva undervisningen inte endast"
4,6,Planering | 107
5,7,"Planering inom ramen för enstaka arbetspass utan också på längre sikt. Dispositionsförslag till studieplaner och exempel på ordnade sekvenser av lärostoff och verksamheter finns i anvisningar och kommentarer. Lokala studieplaner bör vid behov utarbetas, varvid de nyss nämnda anvisningarna kan tjäna till ledning. I de ämnen, där studier i den närmaste omgivningen är det centrala eller utgör väsentliga inslag, t ex hembygdskunskap, naturkunskap, biologi och samhällskunskap, måste studieplanerna med nödvändighet ges lokal anknytning."
5,8,"Alla studieplaner skall utgöra förslag, som tillämpas alltefter föreliggande förhållanden. Lärarnas och lärarlagens aktiva planering av studierna i samverkan med eleverna är viktigare än de färdiga studieplanerna."
6,9,Timplaner
