word,n
--e,1
=,1
a,10
absorberas,1
abstraktion,3
abstraktionerna,1
ackord,1
addition,1
addva,1
agnostisk,1
aktivitet,4
aktiviteter,4
aktivt,15
aktuella,5
aktuellt,1
akustik,1
akustiska,1
alfabetisk,1
algebra,1
algebraiska,1
all,2
alla,23
allemansrätten,1
allergi,1
allmänbildning,3
allmängeografisk,1
allmänna,4
allmänt,1
allra,2
allsidig,3
allsidiga,5
allt,12
alltid,3
alltifrån,1
alltjämt,1
alltmer,2
alltså,1
alternativ,5
alternativa,1
ambitioner,1
amerikansk,1
amerikanskt,1
an,1
analys,6
analysen,1
analyser,2
analysera,16
analyserande,1
analysmetod,1
analytiskt,1
andaktsformer,1
andra,73
andras,7
andraspråk,2
ange,5
angelägna,1
anger,3
anges,3
angivna,2
angår,2
anknyter,3
anknytning,3
anlägger,3
annan,5
annat,5
annorlunda,2
anpassa,1
anpassad,2
anpassar,1
anpassas,2
anrikning,1
anses,1
anslutning,1
ansvar,17
ansvar;,1
ansvaret,1
ansvarsfullt,1
ansvarstagande,1
anteckningar,1
antiken,2
antingen,1
använda,64
användas,2
användbara,2
användbarhet,1
använder,2
användning,5
användningen,1
används,7
använt,1
använts,2
apparater,1
arbeta,6
arbetade,1
arbetar,2
arbete,17
arbetet,9
arbetets,4
arbets-,2
arbetsetik,1
arbetsformer,1
arbetsförmåga,1
arbetsglädje,1
arbetsinsats,1
arbetsinsatsen,1
arbetslivet,1
arbetsmetod,1
arbetsmetoder,1
arbetsmiljö,1
arbetsmiljön,2
arbetsplatsen,1
arbetsplatser,1
arbetsprocessen,5
arbetsresultatet,1
arbetsskador,1
arbetssätt,3
arbetssättet,3
arbetsuppgiften,1
arbetsuppgifter,1
arbetsvillkor,1
areor,2
argument,1
argumentera,4
argumenterar,1
aritmetik,1
arkitektur,1
art,1
arter,1
artiklar,2
artister,1
arv,4
arvet,6
aspekten,1
aspekter,11
ateistisk,1
atom,1
atom-,1
atomer,1
atomkärnor,1
atomslagen,1
atomteori,2
atomteorin,1
atomära,1
att,551
attityder,1
attitydpåverkan,1
av,337
avancerade,1
avbilda,1
avdunstning,1
avfall,1
avfalls-,1
avgörande,2
avläsa,2
avpassad,1
avseenden;,1
avser,5
avspeglas,1
avstånd,4
avverkning,1
ax,1
b-,2
b-språk,3
baka,1
bakgrund,14
bakgrunden,4
bakgrundsteckning,1
bakning,1
bakom,2
balans,1
bara,1
barn,11
barn-,5
barnen,1
barnens,4
barnet,4
barns,5
bas,1
basen,1
