page,paragraph_id,paragraph
0,0,INLEDNING
0,1,Grundläggande bestämmelser om grundskolan återfinns i skollagen och grundskoleförordningen. Genom läroplanen anger regering och riksdag den värdegrund skolan skall vila på och de mål och riktlinjer som skall gälla för skolarbetet. Vid sidan av dessa föreskrifter för skolans verksamhet finns kursplaner. Dessa uttrycker de krav staten ställer på skolans undervisning i olika ämnen.
0,2,"Kursplanerna är bindande föreskrifter. I dem anger regeringen dels vilka mål som undervisningen i respektive ämne skall sträva mot, dels vilka mål eleven skall ha uppnått efter det femte respektive nionde skolåret."
0,3,"Målen i kursplanerna är således av två slag. Först anges de mål, mål att sträva mot, som uttrycker den inriktning undervisningen skall ha vad avser elevens utveckling av insikter, färdigheter, förståelse, erfarenheter osv. Dessa mål är vida och högt ställda. De skall inte sätta någon gräns för elevens kunskapsutveckling."
0,4,"Den andra typen av mål, mål att uppnå, är den miniminivå av kunskaper som anges för det femte respektive nionde skolåret. Kraven uttrycker den grundläggande kunskapsnivå i ämnet som alla elever skall ges möjlighet att uppnå. Det är av vikt att understryka att de allra flesta elever naturligtvis kommer och skall komma längre i sitt lärande."
0,5,"Kursplanerna beskriver vidare respektive ämnes karaktär och uppbyggnad, genom att ange ämnets kärna, dess centrala begrepp, mest väsentliga perspektiv, kunskapsområden, teorier, frågeställningar, aspekter etc. Genom att ämnen har olika karaktär beskrivs de på skilda sätt."
0,6,"Kursplanerna är utformade för att både klargöra vad alla elever bör lära sig och samtidigt lämna stort utrymme för läraren att välja stoff och arbetsmetod. Kursplanerna anger inte arbetssätt, organisation eller metoder. Däremot lägger de fast det innehåll av grundläggande och bestående kunskaper som undervisningen skall förmedla och ger därmed förutsättningar för det stoffurval som måste göras lokalt."
0,7,I det följande anges kursplanerna i alfabetisk ordning.
1,8,B- OCH C-SPRÅK
1,9,"De ökade kontakterna mellan länder och teknikens snabba utveckling ställer krav på att allt fler får kunskaper i främmande språk utöver engelska. Att lära sig kommunicera på främmande språk — lyssna, tala, läsa och skriva — är en väsentlig del av en internationellt orienterad utbildning. I Europa och i världen i övrigt kommer man ofta att, utöver engelska, behöva goda kunskaper i ytterligare minst ett större främmande språk, vanligtvis franska, spanska eller tyska."
1,10,"Undervisningen i ffrämmande språk syftar till att eleverna skall få sådana kunskaper att de kan förstå och använda språket i tal och skrift. Den skall också ge vidgade perspektiv på levnadsförhållanden, tänkesätt, seder och kultur i de länder där det studerade språket används."
1,11,Mål att sträva mot
1,12,"Skolan skall i sin undervisning i B- och C-språk sträva efter att eleven e förstår varierande former av det talade språket och får kännedom om olika regionala varianter av språket,"
1,13,"e kan inleda och delta i samtal på det främmande språket och utvecklar sin förmåga att berätta, beskriva och uttrycka sin uppfattning,"
1,14,"e läser och tillgodogör sig innehållet i faktatexter och skönlitteratur som kan stimulera till fortsatt läsning på egen hand,"
1,15,"e vänjer sig vid att uttrycka egna upplevelser och tankar i skrift så att skrivandet blir en hjälp att befästa och utveckla språket,"
1,16,"e lär sig att bearbeta och förbättra sitt språk mot allt större variation och formell säkerhet,"
1,17,"e skaffar sig insikter i samhällsförhållanden och kultur i de länder där språket talas och lär sig beskriva och göra jämförelser med svenska förhållanden,"
1,18,"e gör det till en vana att använda ordböcker, uppslagsböcker och grammatikor som hjälpmedel och att utnyttja datorer för skrivande, informationssökning och kommunikation,"
1,19,"e kommer till insikt om hur den egna språkinlärningen går till och utifrån denna kunskap ökar sin förmåga till självständigt arbete och eget ansvarstagande,"
1,20,får en tilltro till sin förmåga att använda språket i alla de sammanhang där det finns behov av att kommunicera på det.
1,21,Ämnets uppbyggnad och karaktär
1,22,Språkfärdighet och kunskaper om samhälle och kultur i de länder där språken talas är de centrala delarna i undervisningen.
1,23,Kommunikativ språkfärdighet
1,24,Att kunna kommunicera med hjälp av språket står i centrum för språkinlärningen. Undervisningen skall utgå från ett meningsfullt och intresseväckande innehåll. Genom att lyssna till och läsa om sådant som angår och engagerar och genom att använda språket för att uttrycka egna tankar i tal och skrift utvecklar eleverna också sin språkfärdighet. Det språkliga och sociala samspelet eleverna emellan spelar härvid en viktig roll.
1,25,Även begränsade kunskaper i språket kan vara viktiga för elevens självtillit. Det ligger ett värde i att eleverna försöker hitta vägar för att förstå eller göra sig förstådda också i situationer där den egna språkförmågan ännu inte riktigt räcker till.
1,26,"Den inledande undervisningen kan ta sin utgångspunkt i ett sådant innehåll som knyter an till elevernas erfarenheter och som väcker deras nyfikenhet och fantasi. Bilder, rörelse, sånger, musik och eget skapande stimulerar och stödjer språkutvecklingen och ökar tilltron till den egna förmågan att förstå och använda språket. I ett tidigt skede lägger eleverna"
2,27,"K oha kunskap om vad befruktning innebär, veta något om det genetiska arvet samt ha kunskap om sexuallivets biologi, om preventivmetoder och sexuellt överförbar smitta, e känna till grunddragen i livets utveckling samt villkoren för och betydelsen av biologisk mångfald, e ha kunskap om den egna kroppens organ och organsystem och hur de fungerar tillsammans, ww o ha kunskap om betydelsen av regelbunden motion och goda hälsovanor och ha kunskap om beroendeframkallande medels inverkan på hälsan. X e känna till vanliga sjukdomar och funktionshinder."
3,28,REL
3,29,"Syftet med grundskolans fysik är att utveckla elevernas kunskaper om fysikaliska begrepp och teorier av betydelse för att förstå och beskriva det vardagliga livets fenomen och företeelser. Den s.k klassiska fysiken skall stå i förgrunden, men undervisningen skall också ge en orientering om den moderna fysiken. Fysikämnet har ett särskilt ansvar för energifrågornas behandling i miljöundervisningen."
3,30,Mål att sträva mot
3,31,"Utöver tidigare angivna gemensamma mål skall skolan i sin undervisning i fysik sträva efter att eleven e utvecklar kunskap om begreppen tid, rum, materia, tyngd, massa, rörelse och tröghet och om deras inbördes relationer,"
3,32,"e fördjupar sina kunskaper om akustiska fenomen,"
3,33,"e fördjupar sina kunskaper om värme och värmeöverföring,"
3,34,"e utvecklar insikter i elektricitetsläran och magnetismen,"
3,35,"e utvecklar kunskaper om den linjära optikens strålmodell och förståelse för att ljuset också kan uppfattas som en elektromagnetisk vågrörelse,"
3,36,"e utvecklar kunskaper om olika slag av elektromagnetisk strålning och dess växelverkan med materia,"
3,37,"e utvecklar kunskaper om energi och energiformer, energiomvandlingar och energikvalitet samt om samhällets energiförsörjning,"
3,38,e utvecklar intresse för och kunskaper om den moderna fysiken.
3,39,Ämnets uppbyggnad och karaktär
3,40,"Den klassiska fysiken kan delas in i två av varandra oberoende huvudområden, nämligen mekanik med akustik och värmelära samt elektromagnetism inklusive optik. Det förra behandlar bl.a tyngd och tröghet, olika former av rörelse inklusive ljud och ljudvågor samt värmelära. Det senare omfattar elektricitet och magnetism samt elektromagnetisk strålning, framför allt det synliga ljuset och optiken."
3,41,"Ett för dessa båda områden gemensamt, överbryggande fenomen, som pekar fram mot den moderna fysiken, är energi. Begreppen energi och effekt, energiformer, energiomvandlingar och energispill har också stor betydelse för vardagslivet och för den moderna tekniken."
3,42,"Den moderna fysiken skall behandlas översiktligt. Innehållet anpassas till elevernas intresse och förmåga. Viktiga resultat från atom-, kärn- och elementarpartikelfysik bör ingå, liksom något om modern kosmologi. Några tekniska tillämpningar, t.ex kärnenergi och kärnvapen, transistorer och laserteknik bör behandlas."
3,43,"Mål som eleverrta, skall ha uppnått i slutet av det femte skolåret"
3,44,"Eleven skall e kunna genomföra egna enkla undersökningar och göra systematiska iakttagelser,"
3,45,"e i stora drag känna till hur jorden, månen och solen rör sig i förhållande till och påverkar varandra och hur dessa rörelser förknippas med olika tidsbegrepp,"
3,46,"e kunna göra enkla mätningar och iakttagelser för att förstå årstiderna och deras samband med väderleken,"
3,47,"e ji huvudsak utgående från egna experiment med batterier, lampor och enkla motorer kunna ange betingelserna för att en lampa skall lysa och att elström kan ge upphov till ljus, värme och rörelse samt känna till säkerhetsregler för el i hemmet, e utifrån egna experiment förstå hur permanentmagneter påverkar olika material och hur det kan utnyttjas."
4,49,Mål som eleverna skall ha uppnått i slutet av det nionde skolåret
4,50,"Eleven skall e ha kunskap om att värme kan lagras i och överföras mellan olika objekt,"
4,51,"e förstå hur ljud, beskriven som en mekanisk svängningsrörelse, skapas, utbreder sig och dämpas,"
4,52,"e veta vad som menas med en elektrisk krets och känna till begreppen ström, motstånd, spänning, elektrisk energi och effekt och hur elektrisk ström kan genereras ur mekanisk rörelse,"
4,53,"e känna till hur ljuset utbreder sig, reflekteras, absorberas och bryts,"
4,54,"e känna till olika energiformer och energiomvandlingar och känna till att energin vid dessa omvandlingar alltid bevaras samt därmed förenade miljö- och säkerhetsproblem,"
4,55,"e ha kunskap om universums uppbyggnad och känna till något om hur denna kunskap utvecklats genom tiderna,"
4,56,"e känna till begreppen atomer, atomkärnor och elementarpartiklar."
5,57,"Syftet med grundskolans kemi är att utveckla elevernas kunskaper om elementär kemisk teori, främst atomteori med dess begrepp och modeller för att beskriva och förstå materiens egenskaper och omvandlingar. Eleverna skall få egna erfarenheter av kemins experimentella natur. Undervisningen skall göra eleverna förtrogna med uppbyggnad och framställning av och reaktioner mellan ämnen och material i närmiljön och i samhället. Kemin skall ge kunskaper om råvarors omvandling till nya ämnen och förädling till industriella produkter och material samt hur dessa omhändertas efter användning. Eleverna skall bli medvetna om möjligheterna och fördelarna, men också om riskerna med vårt sätt att utnyttja jordens resurser av bl.a luft, vatten och mark som bas för jord-, vatten- och skogsbruk. Syftet är att ge eleverna möjligheter att utnyttja de kunskaper kemin ger på ett ansvarsfullt sätt med hänsyn till miljön och det egna resursutnyttjandet."
5,58,Mål att sträva mot
5,59,"Utöver tidigare angivna gemensamma mål skall skolan i sin undervisning i kemi sträva efter att eleven e får kunskap om grundämnen, kemiska föreningar och kemiskt tekniska produkter av betydelse för vardagslivet,"
5,60,"e utvecklar kunskap om omvandlingar, faser och fasövergångar vid kemiska reaktioner, e utvecklar kunskap om atomteorin som förklaringsmodell för kemiska processer utifrån iakttagelser och tolkningar av experiment och inblick i äldre tiders kemiska tänkande och kunnande,"
5,61,"e kan genomföra experiment och överföra resultat, iakttagelser, tolkningar och slutsatser till vardagen utanför klassrummet och tvärtom,"
5,62,"e utvecklar förståelse för materiens oförstörbarhet, omvandlingar, kretslopp och spridning samt effekterna av människans ingrepp i dessa förlopp."
5,63,Ämnets uppbyggnad och karaktär
5,64,"Kemi är läran om materiens egenskaper, uppbyggnad och reaktioner. Elevernas utgångspunkt är deras vardag och närmaste omgivning. I grundskolan framstår det som mest relevant att eleverna studerar materiens egenskaper och omvandlingar genom i första hand åskådliga modeller. |"
5,65,"Kemiämnet kan delas in i tre huvudområden, nämligen materiens egenskaper, materiens kemiska reaktioner samt materiens kretslopp och/eller spridning."
5,66,"Området materiens egenskaper innefattar de ca 100 atomslagen som utgör byggstenarna för all materia, skillnader mellan materia och icke-materia, beskrivning och klassificering av olika material och ämnen, gasers egenskaper, skillnader mellan blandningar och kemiska föreningar, separations- och reningsmetoder för blandningar, karakterisering av lösningar efter surhet, begreppen pH, indikator, neutralisation och buffert. Vidare ingår elementär atomteori som förklaring till materiens dynamiska egenskaper."
5,67,"Kemiska reaktioner har stor betydelse i industrisamhället, i vardagen, i naturen och i alla levande organismer. Malmer kan omvandlas till metaller, olja till många olika produkter såsom plaster, färger, rengöringsmedel, läkemedel och kosmetika etc. Metaller korroderar och behöver därför ofta skyddas. Olja, bensin och andra energirika ämnen kan förbrännas och omvandlas till energifattigare ämnen. I naturen vittrar mineral och bergarter och frigör mineral som kan ha betydelse för jord- och skogsbruk. Genom växternas fotosyntes bildas energirika ämnen, i första hand kolhydrater, som är av grundläggande betydelse för människors och djurs ämnesomsättning. Centrala begrepp för att tolka kemiska reaktioner är att massan bevaras, men att dess atomära beståndsdelar kan omarrangeras till nya kemiska föreningar och att energi omsätts vid reaktionerna."
6,69,"Materiens kretslopp och/eller spridning förklaras till stor del av materiens dynamiska natur. Kol, kväve och vatten ingår i naturliga kretslopp. Kunskap om dessa kretslopp är avgörande för att förstå villkoren för jord- och skogsbruk och olika miljöfrågor. Kemiskt kunnande är en förutsättning för insiktsfull miljövård i det moderna samhället. Vid korrosion och förbränning samt vid industriella processer uppstår ofta icke önskvärda biprodukter, som kan ha skadlig inverkan på människor och miljö. Vatten fungerar som lösningsmedel för en mängd ämnen och vatten liksom luft spelar stor roll som transportmedel vid olika spridningsprocesser. Återanvändning och återvinning är viktiga delar i resurshushållningen."
6,70,Mål som eleverna skall ha uppnått i slutet av det femte skolåret
6,71,"Eleven skall e kunna beskriva, jämföra, sortera och ordna ämnen efter egenskaper,"
6,72,"e ha kunskap om begreppen fast, flytande, gasformig samt kokning, avdunstning, kondensering och stelning,"
6,73,"e veta hur riskabla eller farliga kemikalier i hemmiljön skall hanteras och hur de är märkta,"
6,74,"e ha erfarenhet av några olika slags blandningar och lösningar,"
6,75,e känna till några faktorer som leder till att material bryts ned och veta hur man kan förhindra detta.
6,76,Mål som eleverna skall ha uppnått 1 slutet av det nionde skolåret
6,77,"Eleven skall e kunna genomföra och tolka enkla kemiska undersökningar och experiment,"
6,78,"e känna till några grundämnen, kemiska föreningar och kemiskt tekniska produkter av betydelse för vardagslivet,"
6,79,"e känna till de viktigaste kretsloppen i naturen samt kunna beskriva några spridningsprocesser för materia i luft, vatten och mark,"
