page,paragraph_id,sentence_num,sentence_text
0,0,1,INLEDNING
0,1,1,Grundläggande bestämmelser om grundskolan återfinns i skollagen och grundskoleförordningen
0,1,2,Genom läroplanen anger regering och riksdag den värdegrund skolan skall vila på och de mål och riktlinjer som skall gälla för skolarbetet
0,1,3,Vid sidan av dessa föreskrifter för skolans verksamhet finns kursplaner
0,1,4,Dessa uttrycker de krav staten ställer på skolans undervisning i olika ämnen
0,2,1,Kursplanerna är bindande föreskrifter
0,2,2,"I dem anger regeringen dels vilka mål som undervisningen i respektive ämne skall sträva mot, dels vilka mål eleven skall ha uppnått efter det femte respektive nionde skolåret"
0,3,1,Målen i kursplanerna är således av två slag
0,3,2,"Först anges de mål, mål att sträva mot, som uttrycker den inriktning undervisningen skall ha vad avser elevens utveckling av insikter, färdigheter, förståelse, erfarenheter osv"
0,3,3,Dessa mål är vida och högt ställda
0,3,4,De skall inte sätta någon gräns för elevens kunskapsutveckling
0,4,1,"Den andra typen av mål, mål att uppnå, är den miniminivå av kunskaper som anges för det femte respektive nionde skolåret"
0,4,2,Kraven uttrycker den grundläggande kunskapsnivå i ämnet som alla elever skall ges möjlighet att uppnå
0,4,3,Det är av vikt att understryka att de allra flesta elever naturligtvis kommer och skall komma längre i sitt lärande
0,5,1,"Kursplanerna beskriver vidare respektive ämnes karaktär och uppbyggnad, genom att ange ämnets kärna, dess centrala begrepp, mest väsentliga perspektiv, kunskapsområden, teorier, frågeställningar, aspekter etc"
0,5,2,Genom att ämnen har olika karaktär beskrivs de på skilda sätt
0,6,1,Kursplanerna är utformade för att både klargöra vad alla elever bör lära sig och samtidigt lämna stort utrymme för läraren att välja stoff och arbetsmetod
0,6,2,"Kursplanerna anger inte arbetssätt, organisation eller metoder"
0,6,3,Däremot lägger de fast det innehåll av grundläggande och bestående kunskaper som undervisningen skall förmedla och ger därmed förutsättningar för det stoffurval som måste göras lokalt
0,7,1,I det följande anges kursplanerna i alfabetisk ordning
1,8,1,B- OCH C-SPRÅK
1,9,1,De ökade kontakterna mellan länder och teknikens snabba utveckling ställer krav på att allt fler får kunskaper i främmande språk utöver engelska
1,9,2,"Att lära sig kommunicera på främmande språk — lyssna, tala, läsa och skriva — är en väsentlig del av en internationellt orienterad utbildning"
1,9,3,"I Europa och i världen i övrigt kommer man ofta att, utöver engelska, behöva goda kunskaper i ytterligare minst ett större främmande språk, vanligtvis franska, spanska eller tyska"
1,10,1,Undervisningen i ffrämmande språk syftar till att eleverna skall få sådana kunskaper att de kan förstå och använda språket i tal och skrift
1,10,2,"Den skall också ge vidgade perspektiv på levnadsförhållanden, tänkesätt, seder och kultur i de länder där det studerade språket används"
1,11,1,Mål att sträva mot
1,12,1,"Skolan skall i sin undervisning i B- och C-språk sträva efter att eleven e förstår varierande former av det talade språket och får kännedom om olika regionala varianter av språket,"
1,13,1,"e kan inleda och delta i samtal på det främmande språket och utvecklar sin förmåga att berätta, beskriva och uttrycka sin uppfattning,"
1,14,1,"e läser och tillgodogör sig innehållet i faktatexter och skönlitteratur som kan stimulera till fortsatt läsning på egen hand,"
1,15,1,"e vänjer sig vid att uttrycka egna upplevelser och tankar i skrift så att skrivandet blir en hjälp att befästa och utveckla språket,"
1,16,1,"e lär sig att bearbeta och förbättra sitt språk mot allt större variation och formell säkerhet,"
1,17,1,"e skaffar sig insikter i samhällsförhållanden och kultur i de länder där språket talas och lär sig beskriva och göra jämförelser med svenska förhållanden,"
1,18,1,"e gör det till en vana att använda ordböcker, uppslagsböcker och grammatikor som hjälpmedel och att utnyttja datorer för skrivande, informationssökning och kommunikation,"
1,19,1,"e kommer till insikt om hur den egna språkinlärningen går till och utifrån denna kunskap ökar sin förmåga till självständigt arbete och eget ansvarstagande,"
1,20,1,får en tilltro till sin förmåga att använda språket i alla de sammanhang där det finns behov av att kommunicera på det
1,21,1,Ämnets uppbyggnad och karaktär
1,22,1,Språkfärdighet och kunskaper om samhälle och kultur i de länder där språken talas är de centrala delarna i undervisningen
1,23,1,Kommunikativ språkfärdighet
1,24,1,Att kunna kommunicera med hjälp av språket står i centrum för språkinlärningen
1,24,2,Undervisningen skall utgå från ett meningsfullt och intresseväckande innehåll
1,24,3,Genom att lyssna till och läsa om sådant som angår och engagerar och genom att använda språket för att uttrycka egna tankar i tal och skrift utvecklar eleverna också sin språkfärdighet
1,24,4,Det språkliga och sociala samspelet eleverna emellan spelar härvid en viktig roll
1,25,1,Även begränsade kunskaper i språket kan vara viktiga för elevens självtillit
1,25,2,Det ligger ett värde i att eleverna försöker hitta vägar för att förstå eller göra sig förstådda också i situationer där den egna språkförmågan ännu inte riktigt räcker till
1,26,1,Den inledande undervisningen kan ta sin utgångspunkt i ett sådant innehåll som knyter an till elevernas erfarenheter och som väcker deras nyfikenhet och fantasi
1,26,2,"Bilder, rörelse, sånger, musik och eget skapande stimulerar och stödjer språkutvecklingen och ökar tilltron till den egna förmågan att förstå och använda språket"
1,26,3,I ett tidigt skede lägger eleverna
2,27,1,"K oha kunskap om vad befruktning innebär, veta något om det genetiska arvet samt ha kunskap om sexuallivets biologi, om preventivmetoder och sexuellt överförbar smitta, e känna till grunddragen i livets utveckling samt villkoren för och betydelsen av biologisk mångfald, e ha kunskap om den egna kroppens organ och organsystem och hur de fungerar tillsammans, ww o ha kunskap om betydelsen av regelbunden motion och goda hälsovanor och ha kunskap om beroendeframkallande medels inverkan på hälsan"
2,27,2,X e känna till vanliga sjukdomar och funktionshinder
3,28,1,REL
3,29,1,Syftet med grundskolans fysik är att utveckla elevernas kunskaper om fysikaliska begrepp och teorier av betydelse för att förstå och beskriva det vardagliga livets fenomen och företeelser
3,29,2,Den s
3,29,3,"k klassiska fysiken skall stå i förgrunden, men undervisningen skall också ge en orientering om den moderna fysiken"
3,29,4,Fysikämnet har ett särskilt ansvar för energifrågornas behandling i miljöundervisningen
3,30,1,Mål att sträva mot
3,31,1,"Utöver tidigare angivna gemensamma mål skall skolan i sin undervisning i fysik sträva efter att eleven e utvecklar kunskap om begreppen tid, rum, materia, tyngd, massa, rörelse och tröghet och om deras inbördes relationer,"
3,32,1,"e fördjupar sina kunskaper om akustiska fenomen,"
3,33,1,"e fördjupar sina kunskaper om värme och värmeöverföring,"
3,34,1,"e utvecklar insikter i elektricitetsläran och magnetismen,"
3,35,1,"e utvecklar kunskaper om den linjära optikens strålmodell och förståelse för att ljuset också kan uppfattas som en elektromagnetisk vågrörelse,"
3,36,1,"e utvecklar kunskaper om olika slag av elektromagnetisk strålning och dess växelverkan med materia,"
3,37,1,"e utvecklar kunskaper om energi och energiformer, energiomvandlingar och energikvalitet samt om samhällets energiförsörjning,"
3,38,1,e utvecklar intresse för och kunskaper om den moderna fysiken
3,39,1,Ämnets uppbyggnad och karaktär
3,40,1,"Den klassiska fysiken kan delas in i två av varandra oberoende huvudområden, nämligen mekanik med akustik och värmelära samt elektromagnetism inklusive optik"
3,40,2,Det förra behandlar bl
3,40,3,"a tyngd och tröghet, olika former av rörelse inklusive ljud och ljudvågor samt värmelära"
3,40,4,"Det senare omfattar elektricitet och magnetism samt elektromagnetisk strålning, framför allt det synliga ljuset och optiken"
3,41,1,"Ett för dessa båda områden gemensamt, överbryggande fenomen, som pekar fram mot den moderna fysiken, är energi"
3,41,2,"Begreppen energi och effekt, energiformer, energiomvandlingar och energispill har också stor betydelse för vardagslivet och för den moderna tekniken"
3,42,1,Den moderna fysiken skall behandlas översiktligt
3,42,2,Innehållet anpassas till elevernas intresse och förmåga
3,42,3,"Viktiga resultat från atom-, kärn- och elementarpartikelfysik bör ingå, liksom något om modern kosmologi"
3,42,4,"Några tekniska tillämpningar, t"
3,42,5,"ex kärnenergi och kärnvapen, transistorer och laserteknik bör behandlas"
3,43,1,"Mål som eleverrta, skall ha uppnått i slutet av det femte skolåret"
3,44,1,"Eleven skall e kunna genomföra egna enkla undersökningar och göra systematiska iakttagelser,"
3,45,1,"e i stora drag känna till hur jorden, månen och solen rör sig i förhållande till och påverkar varandra och hur dessa rörelser förknippas med olika tidsbegrepp,"
3,46,1,"e kunna göra enkla mätningar och iakttagelser för att förstå årstiderna och deras samband med väderleken,"
3,47,1,"e ji huvudsak utgående från egna experiment med batterier, lampor och enkla motorer kunna ange betingelserna för att en lampa skall lysa och att elström kan ge upphov till ljus, värme och rörelse samt känna till säkerhetsregler för el i hemmet, e utifrån egna experiment förstå hur permanentmagneter påverkar olika material och hur det kan utnyttjas"
4,49,1,Mål som eleverna skall ha uppnått i slutet av det nionde skolåret
4,50,1,"Eleven skall e ha kunskap om att värme kan lagras i och överföras mellan olika objekt,"
4,51,1,"e förstå hur ljud, beskriven som en mekanisk svängningsrörelse, skapas, utbreder sig och dämpas,"
4,52,1,"e veta vad som menas med en elektrisk krets och känna till begreppen ström, motstånd, spänning, elektrisk energi och effekt och hur elektrisk ström kan genereras ur mekanisk rörelse,"
4,53,1,"e känna till hur ljuset utbreder sig, reflekteras, absorberas och bryts,"
4,54,1,"e känna till olika energiformer och energiomvandlingar och känna till att energin vid dessa omvandlingar alltid bevaras samt därmed förenade miljö- och säkerhetsproblem,"
4,55,1,"e ha kunskap om universums uppbyggnad och känna till något om hur denna kunskap utvecklats genom tiderna,"
4,56,1,"e känna till begreppen atomer, atomkärnor och elementarpartiklar"
5,57,1,"Syftet med grundskolans kemi är att utveckla elevernas kunskaper om elementär kemisk teori, främst atomteori med dess begrepp och modeller för att beskriva och förstå materiens egenskaper och omvandlingar"
5,57,2,Eleverna skall få egna erfarenheter av kemins experimentella natur
5,57,3,Undervisningen skall göra eleverna förtrogna med uppbyggnad och framställning av och reaktioner mellan ämnen och material i närmiljön och i samhället
5,57,4,Kemin skall ge kunskaper om råvarors omvandling till nya ämnen och förädling till industriella produkter och material samt hur dessa omhändertas efter användning
5,57,5,"Eleverna skall bli medvetna om möjligheterna och fördelarna, men också om riskerna med vårt sätt att utnyttja jordens resurser av bl"
5,57,6,"a luft, vatten och mark som bas för jord-, vatten- och skogsbruk"
5,57,7,Syftet är att ge eleverna möjligheter att utnyttja de kunskaper kemin ger på ett ansvarsfullt sätt med hänsyn till miljön och det egna resursutnyttjandet
5,58,1,Mål att sträva mot
5,59,1,"Utöver tidigare angivna gemensamma mål skall skolan i sin undervisning i kemi sträva efter att eleven e får kunskap om grundämnen, kemiska föreningar och kemiskt tekniska produkter av betydelse för vardagslivet,"
5,60,1,"e utvecklar kunskap om omvandlingar, faser och fasövergångar vid kemiska reaktioner, e utvecklar kunskap om atomteorin som förklaringsmodell för kemiska processer utifrån iakttagelser och tolkningar av experiment och inblick i äldre tiders kemiska tänkande och kunnande,"
5,61,1,"e kan genomföra experiment och överföra resultat, iakttagelser, tolkningar och slutsatser till vardagen utanför klassrummet och tvärtom,"
5,62,1,"e utvecklar förståelse för materiens oförstörbarhet, omvandlingar, kretslopp och spridning samt effekterna av människans ingrepp i dessa förlopp"
5,63,1,Ämnets uppbyggnad och karaktär
5,64,1,"Kemi är läran om materiens egenskaper, uppbyggnad och reaktioner"
5,64,2,Elevernas utgångspunkt är deras vardag och närmaste omgivning
